symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
ENIL,ENILEQN, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,182.0,-2.75,-1.4884979702300407,184.75,20,3640.0,-,226.95,140.0,182.0,https://static.nseindia.com/sparklines/today/preOpen_ENILEQN.jpg
BIRLAMONEY,BIRLAMONEYEQN, ANNUAL GENERAL MEETING,66.05,-1.0,-1.4914243102162565,67.05,20,1321.0,-,88.8,39.2,66.05,https://static.nseindia.com/sparklines/today/preOpen_BIRLAMONEYEQN.jpg
AYMSYNTEX,AYMSYNTEXEQN, ANNUAL GENERAL MEETING,118.45,-1.7999999999999972,-1.4968814968814945,120.25,71,8409.95,-,158.35,41.4,118.45,https://static.nseindia.com/sparklines/today/preOpen_AYMSYNTEXEQN.jpg
KITEX,KITEXEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,240.0,-3.6500000000000057,-1.49805048224913,243.65,1080,259200.0,-,284.25,91.15,240.0,https://static.nseindia.com/sparklines/today/preOpen_KITEXEQN.jpg
BIRLATYRE,BIRLATYREEQN, ANNUAL GENERAL MEETING,23.0,-0.3500000000000014,-1.4989293361884428,23.35,570,13110.0,-,31.95,21.0,23.0,https://static.nseindia.com/sparklines/today/preOpen_BIRLATYREEQN.jpg
JTEKTINDIA,JTEKTINDIAEQN, DIVIDEND - RS 0.15 PER SHARE,82.05,-1.25,-1.5006002400960383,83.3,260,21333.0,-,132.9,70.05,82.05,https://static.nseindia.com/sparklines/today/preOpen_JTEKTINDIAEQN.jpg
LUMAXIND,LUMAXINDEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SHARE,1105.45,-16.84999999999991,-1.5013810923995285,1122.3,4,4421.8,-,1783.4,1037.0,1105.45,https://static.nseindia.com/sparklines/today/preOpen_LUMAXINDEQN.jpg
INDNIPPON,INDNIPPONEQN,INTERIM DIVIDEND - RS 6.25 PER SHAR,472.35,-7.199999999999989,-1.5014075695964944,479.55,33,15587.55,-,640.8,326.45,472.35,https://static.nseindia.com/sparklines/today/preOpen_INDNIPPONEQN.jpg
XCHANGING,XCHANGINGEQN, ANNUAL GENERAL MEETING,95.0,-1.4500000000000028,-1.503369621565581,96.45,3273,310935.0,-,141.0,60.05,95.0,https://static.nseindia.com/sparklines/today/preOpen_XCHANGINGEQN.jpg
CDSL,CDSLEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 9 PER SHARE,1456.0,-22.65000000000009,-1.5318026578297832,1478.65,2737,3985072.0,-,1734.4,550.55,1456.0,https://static.nseindia.com/sparklines/today/preOpen_CDSLEQN.jpg
SONACOMS,SONACOMSEQN,INTERIM DIVIDEND - RS 0.77 PER SHARE,647.0,-10.149999999999977,-1.5445484288214224,657.15,1895,1226065.0,-,839.9,295.0,647.0,-
SHRIRAMCIT,SHRIRAMCITEQN, INTERIM DIVIDEND - RS 10 PER SHARE,1795.55,-28.200000000000045,-1.5462645647703932,1823.75,135,242399.25,-,2602.0,1324.95,1795.55,https://static.nseindia.com/sparklines/today/preOpen_SHRIRAMCITEQN.jpg
CLEAN,CLEANEQN,,2027.0,-32.19999999999982,-1.563714063714055,2059.2,704,1427008.0,-,2705.0,1422.1,2027.0,-
HFCL,HFCLEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.15 PER SHARE,75.5,-1.2000000000000028,-1.5645371577575002,76.7,52617,3972583.5,-,101.35,23.0,75.5,https://static.nseindia.com/sparklines/today/preOpen_HFCLEQN.jpg
ALMONDZ,ALMONDZEQN, ANNUAL GENERAL MEETING,115.15,-1.8499999999999943,-1.5811965811965762,117.0,260,29939.0,-,154.5,25.0,115.15,https://static.nseindia.com/sparklines/today/preOpen_ALMONDZEQN.jpg
NIITLTD,NIITLTDEQN,INTERIM DIVIDEND - RS 3 PER SHARE,432.4,-6.9500000000000455,-1.5818823261636612,439.35,498,215335.2,-,507.0,136.0,432.4,https://static.nseindia.com/sparklines/today/preOpen_NIITLTDEQN.jpg
XPROINDIA,XPROINDIABEN,,1004.0,-16.149999999999977,-1.5831005244326795,1020.15,115,115460.0,-,1254.9,49.4,1004.0,https://static.nseindia.com/sparklines/today/preOpen_XPROINDIABEN.jpg
AKASH,AKASHBEN,,198.0,-3.1999999999999886,-1.590457256461227,201.2,827,163746.0,-,270.6,146.0,198.0,-
TIINDIA,TIINDIAEQN,INTERIM DIVIDEND - RS 2 PER SHARE,1620.1,-26.25,-1.5944361769976008,1646.35,140,226814.0,-,2025.0,990.05,1620.1,https://static.nseindia.com/sparklines/today/preOpen_TIINDIAEQN.jpg
ACRYSIL,ACRYSILEQN,INTERIM DIVIDEND - RS 1.20 PER SHARE,696.25,-11.299999999999955,-1.5970602784255465,707.55,350,243687.5,-,927.9,254.4,696.25,https://static.nseindia.com/sparklines/today/preOpen_ACRYSILEQN.jpg
RUCHIRA,RUCHIRAEQN, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,80.0,-1.2999999999999972,-1.5990159901598984,81.3,1000,80000.0,-,105.75,56.5,80.0,https://static.nseindia.com/sparklines/today/preOpen_RUCHIRAEQN.jpg
ASIANENE,ASIANENEEQN,,123.0,-2.0,-1.6,125.0,505,62115.0,-,173.0,124.5,123.0,-
VINYLINDIA,VINYLINDIAEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 3.75 PER SHARE,257.35,-4.199999999999989,-1.605811508315805,261.55,769,197902.15,-,331.0,111.55,257.35,https://static.nseindia.com/sparklines/today/preOpen_VINYLINDIAEQN.jpg
UNIDT,UNIDTEQN,INTERIM DIVIDEND - RS 0.90 PER SHARE,476.0,-7.800000000000011,-1.6122364613476665,483.8,80,38080.0,-,604.85,242.25,476.0,https://static.nseindia.com/sparklines/today/preOpen_UNIDTEQN.jpg
RUCHINFRA,RUCHINFRABEN,,9.05,-0.14999999999999858,-1.6304347826086802,9.2,68,615.4,-,14.6,5.5,9.05,https://static.nseindia.com/sparklines/today/preOpen_RUCHINFRABEN.jpg
SHRADHA,SHRADHAEQN, ANNUAL GENERAL MEETING,57.2,-0.9499999999999957,-1.633705932932065,58.15,331,18933.2,-,80.0,35.5,57.2,https://static.nseindia.com/sparklines/today/preOpen_SHRADHAEQN.jpg
BASML,BASMLEQN, ANNUAL GENERAL MEETING,78.25,-1.2999999999999972,-1.6341923318667468,79.55,60,4695.0,-,100.6,37.35,78.25,https://static.nseindia.com/sparklines/today/preOpen_BASMLEQN.jpg
STARPAPER,STARPAPEREQN, DIVIDEND - RS 2.50 PER SHARE,132.1,-2.200000000000017,-1.6381236038719411,134.3,500,66050.0,-,181.7,108.35,132.1,https://static.nseindia.com/sparklines/today/preOpen_STARPAPEREQN.jpg
PTC,PTCEQN, INTERIM DIVIDEND - RS 2 PER SHARE,87.05,-1.4500000000000028,-1.6384180790960483,88.5,20202,1758584.1,-,144.4,68.55,87.05,https://static.nseindia.com/sparklines/today/preOpen_PTCEQN.jpg
HGINFRA,HGINFRAEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.80 PER SHARE,595.15,-10.050000000000068,-1.6606080634501104,605.2,287,170808.05,-,830.0,252.0,595.15,https://static.nseindia.com/sparklines/today/preOpen_HGINFRAEQN.jpg
GAYAPROJ,GAYAPROJEQN, ANNUAL GENERAL MEETING,23.55,-0.3999999999999986,-1.6701461377870506,23.95,1277,30073.35,-,60.7,21.65,23.55,https://static.nseindia.com/sparklines/today/preOpen_GAYAPROJEQN.jpg
